"","Mean_coeff","frequency","variable_name","unique_q_number","max_freq"
"1",-1.06381768596895,1,1,"zone1",1
"2",-0.288263194232075,1,1,"zone3",1
"3",-0.972084906930204,1,1,"zone4",1
"4",-1.86843238357901,1,1,"zone5",1
"5",-2.76549748956875,1,1,"zone6",1
"6",-0.287977897953842,0.985,2,"hhsize1",0.985
"7",0,0,2,"hhsize2",0.985
"8",-0.0301125645065961,0.315,3,"hhead_literacy1",0.315
"9",-0.000828128770697382,0.013,4,"hhead_attend1",0.013
"10",0.000293661801999949,0.007,5,"hhead_max_ed0",0.03
"11",0,0,5,"hhead_max_ed1",0.03
"12",-0.0012577083815218,0.03,5,"hhead_max_ed2",0.03
"13",0,0,6,"hh_max_ed0",0.184
"14",0,0,6,"hh_max_ed1",0.184
"15",-0.0121145023598007,0.184,6,"hh_max_ed2",0.184
"16",0,0,7,"consumed100",0
"17",-0.000195319733804972,0.005,8,"consumed0110",0.005
"18",0,0,9,"consumed160",0
"19",0,0,10,"consumed171",0
"20",0,0,11,"consumed181",0
"21",-0.237918873642056,0.95,12,"consumed251",0.95
"22",0,0,13,"consumed271",0
"23",0,0,14,"consumed281",0
"24",-1.41443499925379e-05,0.001,15,"consumed301",0.001
"25",-0.0121002622640092,0.184,16,"consumed311",0.184
"26",0,0,17,"consumed341",0
"27",-0.000794998628218657,0.014,18,"consumed351",0.014
"28",2.72761337608932e-05,0.001,19,"consumed360",0.001
"29",-0.00010868447286236,0.001,20,"consumed461",0.001
"30",0,0,21,"consumed470",0
"31",-0.0140791062818716,0.202,22,"consumed521",0.202
"32",-0.0127450166895756,0.173,23,"consumed601",0.173
"33",-0.0243257462195024,0.309,24,"consumed611",0.309
"34",-1.19691437559012e-05,0.001,25,"consumed621",0.001
"35",-6.00656592663849e-05,0.001,26,"consumed641",0.001
"36",-2.99026772161137e-05,0.001,27,"consumed671",0.001
"37",-0.0179834249005333,0.265,28,"consumed681",0.265
"38",-0.0113343524221665,0.172,29,"consumed701",0.172
"39",-0.000205428587049639,0.004,30,"consumed711",0.004
"40",-0.000144610419078952,0.004,31,"consumed731",0.004
"41",-4.24393039354643e-05,0.002,32,"consumed781",0.002
"42",-0.00494346466067177,0.091,33,"consumed801",0.091
"43",-0.0635099307319787,0.575,34,"consumed831",0.575
"44",-0.0272910088797422,0.325,35,"consumed901",0.325
"45",0,0,36,"consumed931",0
"46",0,0,37,"consumed1051",0
"47",-0.110203223548878,0.745,38,"consumed1111",0.745
"48",-0.000241204694836571,0.007,39,"consumed1131",0.007
"49",-0.0297523275813105,0.35,40,"consumed1211",0.35
"50",-0.0022241806561289,0.04,41,"consumed1221",0.04
"51",0,0,42,"consumed1300",0
"52",0,0,43,"consumed1421",0
"53",0,0,44,"consumed1441",0
"54",0,0,45,"consumed1451",0
"55",0,0,46,"consumed1471",0
"56",-0.128919954378197,0.799,47,"consumed1511",0.799
"57",-0.00282717979204678,0.062,48,"consumed1521",0.062
"58",-0.000224430676597629,0.01,49,"consumed1531",0.01
"59",-0.0019074794296389,0.032,50,"consumed13_141",0.032
"60",0,0,51,"consumed20_221",0
"61",0,0,52,"consumed32_331",0
"62",-0.00010834419903242,0.001,53,"consumed41_421",0.001
"63",-0.000315816526403132,0.007,54,"consumed43_441",0.007
"64",0,0,55,"consumed74_750",0
"65",-0.000987798008653418,0.016,56,"consumed76_771",0.016
"66",-0.000168659967879548,0.003,57,"consumed100_1031",0.003
"67",0,0,58,"purchased2011",0
"68",-9.03312484410391e-06,0.001,59,"purchased2031",0.001
"69",-0.0382130638237722,0.417,60,"purchased2051",0.417
"70",0,0,61,"purchased2070",0
"71",-0.00271699560689244,0.057,62,"purchased2091",0.057
"72",-7.48995979435953e-05,0.001,63,"purchased2121",0.001
"73",-0.000315486947641854,0.01,64,"purchased2131",0.01
"74",-0.00221369614263041,0.038,65,"purchased2161",0.038
"75",0,0,66,"purchased2340",0
"76",0,0,67,"spent3021",0
"77",0,0,68,"spent3151",0
"78",-2.125025868171e-05,0.004,69,"spent3281",0.004
"79",-0.000135596644021629,0.005,70,"spent3291",0.005
"80",-0.00596611145120681,0.116,71,"spent3301",0.116
"81",-1.76250959452575e-05,0.002,72,"spent3371",0.002
"82",-0.000300659708261006,0.005,73,"spent3381",0.005
"83",-0.000582751592649319,0.016,74,"spent3431",0.016
"84",0,0,75,"spent3441",0
"85",-0.000154876889797923,0.006,76,"spent3451",0.006
"86",0,0,77,"spent3461",0
"87",-0.0012849560744398,0.033,78,"spent3501",0.033
"88",-4.69356228199782e-05,0.001,79,"spent3561",0.001
"89",0,0,80,"spent301_3100",0
"90",0,0,81,"spent322_3251",0
"91",-0.0502854133349527,0.464,82,"asset3011",0.464
"92",-2.44950470910173e-05,0.002,83,"asset3021",0.002
"93",-0.00362670187782842,0.071,84,"asset3031",0.071
"94",0,0,85,"asset3050",0
"95",-4.64161631173386e-05,0.001,86,"asset3060",0.001
"96",-0.00140090170928662,0.027,87,"asset3111",0.027
"97",-0.00337355215531955,0.076,88,"asset3121",0.076
"98",0,0,89,"asset3181",0
"99",-0.00532571328254428,0.084,90,"asset3201",0.084
"100",-0.12959104314213,0.794,91,"asset3211",0.794
"101",-0.0714214967403333,0.579,92,"asset3261",0.579
"102",-0.00227718149837741,0.044,93,"asset3301",0.044
"103",-0.0245929053583389,0.276,94,"hh_walls1",0.276
"104",0,0,95,"hh_roof1",0.001
"105",-3.61909312711228e-05,0.001,95,"hh_roof2",0.001
"106",-0.000115534228315639,0.001,96,"hh_floor1",0.001
"107",0,0,96,"hh_floor2",0.001
"108",-0.0144125930713202,0.198,97,"hh_cookstove1",0.198
"109",0,0,98,"hh_drinkrainy1",0
"110",0,0,98,"hh_drinkrainy2",0
"111",0,0,99,"hh_toilet1",0.278
"112",-0.0205847172908751,0.278,99,"hh_toilet2",0.278
"113",-7.98630956699812e-05,0.002,100,"hh_refuse1",0.002
"114",-0.00155547539513689,0.057,101,"ag_work0",0.057
"115",0,0,102,"ag_hold_plot0",0
"116",-0.000285669250102895,0.008,103,"ag_own_land0",0.008
"117",-1.65004874677313e-05,0.001,104,"ag_livestock0",0.001
"118",-0.02043197575268,0.256,105,"po_grid1",0.256
"119",-0.00170982343689281,0.036,106,"po_elect1",0.036
"120",0,0,106,"po_elect2",0.036
"121",0,0,107,"wa_piped0",0
"122",0,0,107,"wa_piped1",0
"123",-0.000228987030935731,0.006,108,"any_wage1",0.006
"124",-0.00155290504550055,0.057,109,"any_ownagri0",0.057
"125",-0.000209286990010622,0.002,110,"any_nfe1",0.002
