"","Score","poor_npl1"
"1",0,0.942239325809381
"2",1,0.936816985120753
"3",2,0.93092293443712
"4",3,0.924523353189966
"5",4,0.917583377864006
"6",5,0.910067354218227
"7",6,0.901939153830984
"8",7,0.893162561257349
"9",8,0.883701737160407
"10",9,0.873521761316167
"11",10,0.862589257305927
"12",11,0.850873097928182
"13",12,0.838345186841639
"14",13,0.824981307693883
"15",14,0.810762027061591
"16",15,0.795673632071951
"17",16,0.779709077828795
"18",17,0.762868914069575
"19",18,0.745162155268157
"20",19,0.726607054193532
"21",20,0.707231736305576
"22",21,0.687074651884324
"23",22,0.666184804950084
"24",23,0.644621723194818
"25",24,0.622455141445707
"26",25,0.599764382467615
"27",26,0.576637432702537
"28",27,0.553169726033133
"29",28,0.529462664753061
"30",29,0.505621922349269
"31",30,0.481755586116209
"32",31,0.457972207796901
"33",32,0.434378836407793
"34",33,0.411079108569056
"35",34,0.388171467914033
"36",35,0.365747576860713
"37",36,0.343890971998037
"38",37,0.322675999699166
"39",38,0.302167052628969
"40",39,0.282418111888124
"41",40,0.263472584825757
"42",41,0.245363416006327
"43",42,0.228113439071628
"44",43,0.211735930598599
"45",44,0.196235323511461
"46",45,0.181608036900882
"47",46,0.167843380790318
"48",47,0.154924497924624
"49",48,0.142829309462051
"50",49,0.131531436979236
"51",50,0.121001078970355
"52",51,0.111205825650154
"53",52,0.102111401071016
"54",53,0.0936823261501694
"55",54,0.0858825000741799
"56",55,0.0786757006746233
"57",56,0.0720260067748597
"58",57,0.0658981472533827
"59",58,0.0602577827363816
"60",59,0.0550717265131018
"61",60,0.0503081115556106
"62",61,0.0459365105078394
"63",62,0.0419280152664835
"64",63,0.0382552823767026
"65",64,0.0348925499651603
"66",65,0.031815631377116
"67",66,0.0290018901080468
"68",67,0.0264302000496632
"69",68,0.0240808945235747
"70",69,0.021935707065489
"71",70,0.0199777064559886
"72",71,0.0181912280741628
"73",72,0.016561803278472
"74",73,0.0150760881939589
"75",74,0.0137217930037947
"76",75,0.0124876126027892
"77",76,0.0113631592671161
"78",77,0.0103388978241613
"79",78,0.00940608366516144
"80",79,0.00855670382743736
"81",80,0.00778342127903458
"82",81,0.00707952246329176
"83",82,0.0064388681013972
"84",83,0.00585584720483362
"85",84,0.00532533421452985
"86",85,0.00484264915761069
"87",86,0.0044035206942049
"88",87,0.0040040519144272
"89",88,0.00364068873819631
"90",89,0.00331019076698362
"91",90,0.00300960443606752
"92",91,0.00273623831770187
"93",92,0.0024876404292198
"94",93,0.00226157740501844
"95",94,0.00205601539722589
"96",95,0.00186910257633202
"97",96,0.00169915310992623
"98",97,0.00154463250473403
"99",98,0.0014041442042309
"100",99,0.00127641734112018
"101",100,0.00116029555080525
